Stock Code,Warehouse,CREATEDATE,BATCH,Qty
8100910004                         ,62,11/6/2026,199900015011,240
8100910004                         ,62,11/6/2026,199900015010,240
8100920004                         ,62,11/6/2026,199900015009,240
8101010104                         ,62,12/6/2026,199900015028,250
8101010104                         ,62,12/6/2026,199900015029,250
8101010104                         ,62,12/6/2026,199900015030,250
8101010104                         ,62,31/5/2026,199900014346,250
8101010104                         ,62,12/6/2026,199900015024,250
8101010104                         ,62,12/6/2026,199900015027,250
8101010104                         ,62,12/6/2026,199900015025,250
8101010104                         ,62,12/6/2026,199900015026,250
8101020104                         ,62,11/6/2026,199900015015,250
8101020104                         ,62,11/6/2026,199900015019,250
8101020104                         ,62,11/6/2026,199900015016,250
8101020104                         ,62,11/6/2026,199900015017,250
8101020104                         ,62,31/5/2026,199900014347,250
8101020104                         ,62,11/6/2026,199900015013,250
8101020104                         ,62,11/6/2026,199900015014,250
8101020104                         ,62,11/6/2026,199900015012,250
8101020104                         ,62,11/6/2026,199900015018,250
8157310204                         ,01,22/12/2025,199900004454,250
8157320204                         ,01,22/12/2025,199900004455,250
8157320204                         ,98,21/4/2026,199900012249,400
8157320204                         ,98,22/12/2025,199900004456,250
8163210604                         ,01,15/1/2026,199900006069,50
8163210604                         ,01,2/2/2026,199900007861,40
8163210604                         ,01,15/1/2026,199900006068,90
8163210604                         ,60,19/5/2026,199900013397,90
8163210604                         ,60,19/5/2026,199900013408,90
8163210604                         ,60,19/5/2026,199900013398,90
8163220604                         ,01,31/12/2025,199900005352,90
8163220604                         ,01,15/1/2026,199900006067,40
8163220604                         ,01,2/2/2026,199900007862,50
8163220604                         ,60,19/5/2026,199900013404,90
8163220604                         ,60,19/5/2026,199900013405,90
8163220604                         ,60,19/5/2026,199900013411,90
8167110304                         ,50,19/5/2026,199900013553,30
8167110304                         ,50,15/1/2026,199900006081,40
8167120304                         ,62,22/5/2026,199900013574,24
8203210504                         ,60,20/5/2026,199900013615,85
8203210504                         ,60,18/3/2026,199900010026,85
8203210504                         ,60,20/5/2026,199900013613,85
8203210504                         ,60,18/3/2026,199900010028,85
8203210504                         ,60,20/5/2026,199900013576,25
8203210504                         ,60,16/5/2026,199900013254,60
8203210504                         ,60,18/3/2026,199900010024,85
8203210504                         ,60,18/3/2026,199900010025,85
8203210504                         ,60,20/5/2026,199900013616,85
8203210504                         ,60,18/3/2026,199900010022,85
8203210504                         ,60,17/3/2026,199900010019,85
8203210504                         ,62,20/5/2026,199900013614,85
8203220504                         ,60,18/3/2026,199900010032,85
8203220504                         ,60,18/3/2026,199900010030,85
8203220504                         ,60,18/3/2026,199900010036,85
8203220504                         ,60,18/3/2026,199900010034,85
8203220504                         ,60,20/5/2026,199900013619,85
8203220504                         ,60,18/3/2026,199900010033,85
8203220504                         ,60,20/5/2026,199900013620,85
8203220504                         ,60,17/3/2026,199900010037,85
8203220504                         ,62,16/5/2026,199900013253,85
8203220504                         ,62,20/5/2026,199900013617,28
8203220504                         ,62,23/4/2026,199900012467,57
8203220504                         ,62,20/5/2026,199900013618,85
8207210404                         ,98,8/2/2026,199900008432,60
8334310104                         ,60,23/5/2026,199900013781,40
8334310104                         ,60,25/5/2026,199900013811,40
8334310104                         ,60,25/5/2026,199900013812,40
8334310104                         ,60,25/5/2026,199900013813,40
8334310104                         ,60,23/5/2026,199900013782,40
8334310104                         ,60,23/5/2026,199900013780,40
8334310104                         ,60,23/5/2026,199900013790,40
8334310104                         ,60,23/5/2026,199900013791,40
8334310104                         ,62,23/5/2026,199900013784,40
8334310104                         ,62,23/5/2026,199900013788,40
8334310104                         ,62,23/5/2026,199900013786,40
8334310104                         ,62,25/5/2026,199900013816,40
8334310104                         ,62,23/5/2026,199900013789,40
8334310104                         ,62,25/5/2026,199900013815,40
8334310104                         ,62,23/5/2026,199900013785,40
8334310104                         ,62,23/5/2026,199900013787,40
8334310104                         ,62,25/5/2026,199900013814,40
8334320104                         ,60,23/5/2026,199900013793,40
8334320104                         ,60,23/5/2026,199900013794,40
8334320104                         ,60,25/5/2026,199900013832,40
8334320104                         ,60,23/5/2026,199900013792,40
8334320104                         ,60,23/5/2026,199900013803,40
8334320104                         ,60,25/5/2026,199900013834,40
8334320104                         ,60,25/5/2026,199900013833,40
8334320104                         ,62,25/5/2026,199900013831,40
8334320104                         ,62,23/5/2026,199900013800,40
8334320104                         ,62,23/5/2026,199900013796,40
8334320104                         ,62,23/5/2026,199900013801,40
8334320104                         ,62,23/5/2026,199900013798,40
